Species	Source
Bulychevia georgiana	GBIF
Synidotea nodulosa	GBIF
Melita sulca	GBIF
Campylaspis hartae	GBIF
Hemilamprops californicus	GBIF
Lophomastix altoonaensis	GBIF
Macrocheira longirostra	GBIF
Branchioplax carmanahensis	GBIF
Eudorella pacifica	GBIF
Upogebia pugettensis	GBIF
Synidotea nebulosa	GBIF
Photis bifurcata	GBIF
Telmessus cheiragonus	GBIF
Exosphaeroma inornata	GBIF
Chondracanthus irregularis	GBIF
Acanthochondria rectangularis	GBIF
Rhachotropis oculata	GBIF
Munida witteae	GBIF
Macroacaena schencki	GBIF
Heptacarpus brevirostris	GBIF
Metopa cistella	GBIF
Americhelidium shoemakeri	GBIF
Paromolopsis piersoni	GBIF
Photis oligochaeta	GBIF
Syrrhoe longifrons	GBIF
Cumella morion	GBIF
Pagurus beringanus	GBIF
Anatolikos wahkiakumensis	GBIF
Hemigrapsus oregonensis	GBIF
Anonyx laticoxae	GBIF
Nebalia bipes	GBIF
Ranidina willapensis	GBIF
Macrocheira sullivani	GBIF
Allorchestes angusta	GBIF
Gammaropsis shoemakeri	GBIF
Gnorimosphaeroma oregonense	GBIF
Oithona davisae	GBIF
Scleroplax granulata	GBIF
Caprella incisa	GBIF
Neocrangon resima	GBIF
Pagurus aleuticus	GBIF
Crangon franciscorum	GBIF
Pseudobradya lanceta	GBIF
Ampithoe valida	GBIF
Sunamphitoe humeralis	GBIF
Laticorophium baconi	GBIF
Chorilia turgida	GBIF
Chiridius gracilis	GBIF
Lepeophtheirus salmonis	GBIF
Megalorchestia californiana	GBIF
Pandalus jordani	GBIF
Pandalus hypsinotus	GBIF
Tharybis fultoni	GBIF
Candacia bipinnata	GBIF
Pseudocalanus mimus	GBIF
Mesocalanus tenuicornis	GBIF
Neocrangon communis	GBIF
Thysanoessa raschii	GBIF
Argis ovifer	GBIF
Eualus biunguis	GBIF
Tortanus discaudatus	GBIF
Argis levior	GBIF
Calliopius pacificus	GBIF
Eualus fabricii	GBIF
Mysidella americana	GBIF
Anamixis pacifica	GBIF
Xantharus cryeri	GBIF
Cryptolithodes typicus	GBIF
Armadillidium vulgare	GBIF
Traskorchestia traskiana	GBIF
Heptacarpus franciscanus	GBIF
Pandalus lucidirimicola	GBIF
Megalorchestia columbiana	GBIF
Scleroplax littoralis	GBIF
Cymadusa uncinata	GBIF
Haplostomella reducta	GBIF
Vibilia australis	GBIF
Heptacarpus stimpsoni	GBIF
Scina borealis	GBIF
Scleroplax faba	GBIF
Megalorchestia benedicti	GBIF
Americhelidium micropleon	GBIF
Heptacarpus taylori	GBIF
Rhepoxynius vigitegus	GBIF
Seba bathybia	GBIF
Echinocletodes voightae	GBIF
Metridia lucens	GBIF
Naobranchia occidentalis	GBIF
Eudactylina acanthii	GBIF
Lepeophtheirus bifidus	GBIF
Platyarthrus hoffmannseggii	GBIF
Stygiopontius quadrispinosus	GBIF
Caprella bathytatos	GBIF
Halicyclops itohi	GBIF
Aphotopontius forcipatus	GBIF
Rhynchothalestris helgolandica	GBIF
Zanthopsis rathbunae	GBIF
Callianassa whiteavesi	GBIF
Loxorhynchus grandis	GBIF
Azygokeras columbiae	GBIF
Faxonius sanbornii	GBIF
Exosphaeroma media	GBIF
Rhamphochela carinata	GBIF
Munidopsis scabra	GBIF
Anonyx nugax	GBIF
Spirontocaris holmesi	GBIF
Lycaea pulex	GBIF
Desdimelita desdichada	GBIF
Urocopia singularis	GBIF
Hyperoche medusarum	GBIF
Streetsia challengeri	GBIF
Rhincalanus nasutus	GBIF
Tessarabrachion oculatum	GBIF
Stilipes distinctus	GBIF
Spinocalanus longicornis	GBIF
