"Species","Source"
"Armadillidium vulgare","GBIF"
"Telmessus cheiragonus","GBIF"
"Heptacarpus brevirostris","GBIF"
"Megalorchestia columbiana","GBIF"
"Pagurus beringanus","GBIF"
"Hemigrapsus oregonensis","GBIF"
"Crangon franciscorum","GBIF"
"Rhepoxynius vigitegus","GBIF"
"Laticorophium baconi","GBIF"
"Pandalus jordani","GBIF"
"Gnorimosphaeroma oregonense","GBIF"
"Candacia bipinnata","GBIF"
"Pseudocalanus mimus","GBIF"
"Mesocalanus tenuicornis","GBIF"
"Neocrangon communis","GBIF"
"Vibilia australis","GBIF"
"Tortanus discaudatus","GBIF"
"Neocalanus flemingeri","GBIF"
"Scleroplax granulata","GBIF"
"Hemilamprops californicus","GBIF"
"Anchicolurus occidentalis","GBIF"
"Photis lacia","GBIF"
"Rocinela propodialis","GBIF"
"Pandalus hypsinotus","GBIF"
"Cryptolithodes typicus","GBIF"
"Mandibulophoxus uncirostratus","GBIF"
"Monocorophium acherusicum","GBIF"
"Upogebia pugettensis","GBIF"
"Photis bifurcata","GBIF"
"Scleroplax littoralis","GBIF"
"Pandalus lucidirimicola","GBIF"
"Nannocalanus minor","GBIF"
"Eusergestes similis","GBIF"
"Heptacarpus taylori","GBIF"
"Traskorchestia traskiana","GBIF"
"Americhelidium shoemakeri","GBIF"
"Heptacarpus stimpsoni","GBIF"
"Americorophium salmonis","GBIF"
"Scleroplax faba","GBIF"
"Alienacanthomysis macropsis","GBIF"
"Lepeophtheirus salmonis","GBIF"
"Scypholanceola aestiva","GBIF"
"Allorchestes angusta","GBIF"
"Orchomenella pinguis","GBIF"
"Metridia lucens","GBIF"
"Oithona davisae","GBIF"
"Ampithoe valida","GBIF"
"Chiridius gracilis","GBIF"
"Heptacarpus franciscanus","GBIF"
"Calliopius pacificus","GBIF"
"Pagurus setosus","GBIF"
"Exosphaeroma inornata","GBIF"
"Pagurus aleuticus","GBIF"
"Exosphaeroma media","GBIF"
"Campylaspis hartae","GBIF"
"Rhamphochela carinata","GBIF"
"Munidopsis scabra","GBIF"
"Anonyx nugax","GBIF"
"Spirontocaris holmesi","GBIF"
"Americhelidium shoemakeri","GBIF"
"Diosaccus spinatus","GBIF"
"Loxorhynchus grandis","GBIF"
"Scina borealis","GBIF"
"Eualus barbatus","GBIF"
"Chorilia turgida","GBIF"
"Urocopia singularis","GBIF"
"Stygiopontius quadrispinosus","GBIF"
"Metopa cistella","GBIF"
"Lycaea pulex","GBIF"
"Diastylis paraspinulosa","GBIF"
"Triconia derivata","GBIF"
"Desdimelita desdichada","GBIF"
"Megalorchestia benedicti","GBIF"
"Eudorella pacifica","GBIF"
"Triconia redacta","GBIF"
"Anisostenhelia asetosa","GBIF"
"Synidotea nebulosa","GBIF"
"Streetsia challengeri","GBIF"
"Calliopius laeviusculus","GBIF"
"Harpacticus uniremis","GBIF"
"Platyarthrus hoffmannseggii","GBIF"
"Crangon nigricauda","GBIF"
"Tharybis fultoni","GBIF"
"Thysanoessa raschii","GBIF"
"Argis ovifer","GBIF"
"Eualus fabricii","GBIF"
"Anamixis pacifica","GBIF"
"Calocarides quinqueseriatus","GBIF"
"Americhelidium micropleon","GBIF"
"Heptacarpus brevirostris","GBIF"
"Thorlaksonius depressus","GBIF"
"Bulychevia georgiana","GBIF"
"Salmincola edwardsii","GBIF"
"Neocrangon resima","GBIF"
"Melita sulca","GBIF"
"Rhachotropis oculata","GBIF"
"Syrrhoe longifrons","GBIF"
"Argis levior","GBIF"
"Cumella morion","GBIF"
"Gammaropsis shoemakeri","GBIF"
"Joeropsis setosa","GBIF"
"Haplostomella reducta","GBIF"
"Paraeuchaeta norvegica","GBIF"
"Epimeria cora","GBIF"
"Caprella incisa","GBIF"
"Rhepoxynius daboius","GBIF"
"Maera jerrica","GBIF"
"Photis conchicola","GBIF"
"Cymadusa uncinata","GBIF"
"Amathillopsis pacifica","GBIF"
"Pentidotea montereyensis","GBIF"
"Acidostoma hancocki","GBIF"
"Foxiphalus similis","GBIF"
"Synidotea bicuspida","GBIF"
"Lepeophtheirus bifidus","GBIF"
"Ericthonius brasiliensis","GBIF"
"Pandalus ampla","GBIF"
"Byblis millsi","GBIF"
"Pseudobradya lanceta","GBIF"
"Sunamphitoe humeralis","GBIF"
"Megalorchestia californiana","GBIF"
"Hippomedon tracatrix","GBIF"
"Ericthonius rubricornis","GBIF"
"Hyperoche medusarum","GBIF"
"Rhynchothalestris helgolandica","GBIF"
"Lophomastix altoonaensis","GBIF"
"Ramellogammarus littoralis","GBIF"
"Spirontocaris dalli","GBIF"
"Mandibulophoxus alaskensis","GBIF"
"Monocorophium californianum","GBIF"
"Proneomysis wailesi","GBIF"
"Pagurus mertensii","GBIF"
"Carinonajna bicarinata","GBIF"
"Tessarabrachion oculatum","GBIF"
"Stilipes distinctus","GBIF"
"Dulichiella appendiculata","GBIF"
"Hemilamprops gracilis","GBIF"
"Stygobromus lanensis","GBIF"
"Orchomenella pacifica","GBIF"
"Podoceropsis chionoecetophila","GBIF"
"Caprella ungulina","GBIF"
"Hippomedon columbianus","GBIF"
"Ampelisca brevisimulata","GBIF"
"Quadrimaera vigota","GBIF"
"Haploops tubicola","GBIF"
"Chondracanthus irregularis","GBIF"
"Dynamenella perforata","GBIF"
"Kamptopleustes coquillus","GBIF"
"Lamprops fuscatus","GBIF"
"Cheiriphotis megacheles","GBIF"
"Ceradocus spinicauda","GBIF"
"Cryptodius unguidactylus","GBIF"
"Lebbeus polaris","GBIF"
"Azygokeras columbiae","GBIF"
"Faxonius sanbornii","GBIF"
"Paramoera mohri","GBIF"
"Sclerocrangon boreas","GBIF"
"Chirundina streetsii","GBIF"
"Holopleustes aequipes","GBIF"
"Caprella pustulata","GBIF"
"Eucopia grimaldii","GBIF"
"Dynoides canadensis","GBIF"
"Holmesimysis sculptoides","GBIF"
"Ericthonius difformis","GBIF"
"Mandibulophoxus gilesi","GBIF"
"Ramellogammarus oregonensis","GBIF"
"Gaetanus brevispinus","GBIF"
"Paraeuchaeta californica","GBIF"
"Eualus biunguis","GBIF"
"Holophryxus alaskensis","GBIF"
"Maera bousfieldi","GBIF"
"Acanthochondria vancouverensis","GBIF"
"Thorlaksonius carinatus","GBIF"
"Anonyx laticoxae","GBIF"
"Jassa slatteryi","GBIF"
"Megamoera borealis","GBIF"
"Ptilohyale plumulosus","GBIF"
"Neocrangon resima","GBIF"
"Ampelisca cristoides","GBIF"
"Aristias curtipes","GBIF"
"Dynamene benedicti","GBIF"
"Cercops compactus","GBIF"
"Eusirella multicalceola","GBIF"
"Clavella perfida","GBIF"
"Paraeuchaeta elongata","GBIF"
"Spinomonstrilla spinosa","GBIF"
"Seba bathybia","GBIF"
"Echinocletodes voightae","GBIF"
"Synidotea nodulosa","GBIF"
"Macrocheira longirostra","GBIF"
"Branchioplax carmanahensis","GBIF"
"Acanthochondria rectangularis","GBIF"
"Munida witteae","GBIF"
"Macroacaena schencki","GBIF"
"Paromolopsis piersoni","GBIF"
"Photis oligochaeta","GBIF"
"Anatolikos wahkiakumensis","GBIF"
"Nebalia bipes","GBIF"
"Ranidina willapensis","GBIF"
"Macrocheira sullivani","GBIF"
"Naobranchia occidentalis","GBIF"
"Eudactylina acanthii","GBIF"
"Ctenocheles hokoensis","GBIF"
"Zanthopsis rathbunae","GBIF"
"Acanthodiaulax mclayi","GBIF"
"Macroacaena schencki","GBIF"
"Rhincalanus nasutus","GBIF"
"Petrolisthes manimaculis","GBIF"
"Callianassa whiteavesi","GBIF"
"Linuparus canadensis","GBIF"
"Ambilimbus altalis","GBIF"
"Campylaspis rubicunda","GBIF"
"Faxonius sanbornii","GBIF"
"Barathricola rimensis","GBIF"
"Palaemon kadiakensis","GBIF"
"Ione cornuta","GBIF"
"Spinocalanus longicornis","GBIF"
"Mysidella americana","GBIF"
"Xantharus cryeri","GBIF"
"Argis crassa","GBIF"
"Onychodiaptomus hesperus","GBIF"
"Caprella bathytatos","GBIF"
"Halicyclops itohi","GBIF"
"Aphotopontius forcipatus","GBIF"
"Iliacantha subglobosa","GBIF"
"Diporeia hoyi","GBIF"
"Lophopanopeus bellus","GBIF"
"Eualus avinus","GBIF"
"Grimothea quadrispina","GBIF"
"Scaphocalanus brevicornis","GBIF"
"Thysanoessa spinifera","GBIF"
"Undeuchaeta intermedia","GBIF"
"Heptacarpus tridens","GBIF"
"Chionoecetes bairdi","GBIF"
"Rathbunixa occidentalis","GBIF"
"Heptacarpus kincaidi","GBIF"
"Cyphocaris challengeri","GBIF"
"Heptacarpus moseri","GBIF"
"Clytemnestra scutellata","GBIF"
"Pandalus danae","GBIF"
"Oncaea media","GBIF"
"Ctenocalanus vanus","GBIF"
"Hansarsia difficilis","GBIF"
"Monothula subtilis","GBIF"
"Pseudoamallothrix ovata","GBIF"
"Primno abyssalis","GBIF"
"Paracalanus indicus","GBIF"
"Heptacarpus stylus","GBIF"
"Canuella canadensis","GBIF"
"Phyllolithodes papillosus","GBIF"
"Sunamphitoe lindbergi","GBIF"
"Hippomedon denticulatus","GBIF"
"Protohyale jarrettae","GBIF"
"Parallorchestes cowani","GBIF"
"Protohyale frequens","GBIF"
"Paguristes turgidus","GBIF"
"Megalorchestia californiana","GBIF"
"Pentidotea montereyensis","GBIF"
"Lopholithodes mandtii","GBIF"
"Ampithoe lacertosa","GBIF"
"Eualus subtilis","GBIF"
"Apohyale pugettensis","GBIF"
"Pacifastacus leniusculus","GBIF"
"Wecomedon wecomus","GBIF"
"Hemiarthrus abdominalis","GBIF"
"Argis crassa","GBIF"
"Boreomysis inermis","GBIF"
"Ligidium gracile","GBIF"
"Faxonius neglectus","GBIF"
"Crangon handi","GBIF"
"Diastylis umatillensis","GBIF"
"Porcellio laevis","GBIF"
"Pontogeneia rostrata","GBIF"
"Heptacarpus carinatus","GBIF"
"Synidotea cornuta","GBIF"
"Exosphaeroma amplicauda","GBIF"
"Paracalliopiella pratti","GBIF"
"Hartmanodes hartmanae","GBIF"
"Munidopsis latirostris","GBIF"
"Neotrypaea californiensis","GBIF"
"Americorophium brevis","GBIF"
"Crangon nigromaculata","GBIF"
"Ampelisca hancocki","GBIF"
"Hesperodiaptomus shoshone","GBIF"
"Apohyale pugettensis","GBIF"
"Foxiphalus cognatus","GBIF"
"Pontogeneia inermis","GBIF"
"Spirontocaris truncata","GBIF"
"Pakynus barnardi","GBIF"
"Hippolyte californiensis","GBIF"
"Panulirus interruptus","GBIF"
"Dactylerythrops latisquamosa","GBIF"
"Tryphana malmii","GBIF"
"Heptacarpus kincaidi","GBIF"
"Lebbeus mundus","GBIF"
"Eohaustorius sawyeri","GBIF"
"Gammarus lacustris","GBIF"
"Herbstia parvifrons","GBIF"
"Cystisoma fabricii","GBIF"
"Ptilohyale plumulosus","GBIF"
"Americorophium spinicorne","GBIF"
"Pagurus brandti","GBIF"
"Desdimelita desdichada","GBIF"
"Lepeophtheirus parvicruris","GBIF"
"Bentheogennema borealis","GBIF"
"Pandalus montagui","GBIF"
"Eohaustorius washingtonianus","GBIF"
"Pontogeneia ivanovi","GBIF"
"Chondrochelia dubia","GBIF"
"Ampithoe simulans","GBIF"
"Euchirella rostrata","GBIF"
"Haplostomella dubia","GBIF"
"Doridicola sunnivae","GBIF"
"Leptostylis villosa","GBIF"
"Caprella mendax","GBIF"
"Pseudotanais californiensis","GBIF"
"Scyllarella manleyi","GBIF"
"Deutella californica","GBIF"
"Mursia marcusana","GBIF"
"Microjassa barnardi","GBIF"
"Branchiolambrus altus","GBIF"
"Rocinela tridens","GBIF"
"Lophopanopeus diegensis","GBIF"
